Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-02-21 15:37:32,false,"Toronto Running","9.68","725","00:57:31","129","149","3.4","155","169","5:56","3:55","98","72","1.09","8.8","9.6","295","5:50","337","0.0","330","523","8,860","No","00:04:08.5","10","--","--","--","00:57:19","00:59:11","64","111"
Running,2025-02-13 15:32:24,false,"Douglas County Running","8.26","621","00:46:35","136","147","3.4","154","181","5:38","4:33","137","112","1.14","8.7","9.9","292","5:31","375","0.0","363","538","7,154","No","00:01:35.2","9","--","--","--","00:46:19","00:47:17","1,706","1,760"
Running,2025-02-10 15:38:35,false,"Toronto Running","10.02","756","00:54:00","141","157","3.8","156","179","5:23","3:19","88","97","1.19","8.4","10.0","286","5:22","366","0.0","358","580","8,386","No","00:00:06.0","11","--","--","--","00:53:48","00:55:16","61","117"
Running,2025-02-08 15:53:28,false,"Toronto Running","16.33","1,228","01:30:09","139","154","4.3","156","163","5:31","4:33","128","91","1.16","8.6","9.9","288","5:29","357","0.0","353","532","14,020","No","00:01:46.6","17","--","--","--","01:29:56","01:34:12","63","114"
Running,2025-02-06 13:52:05,false,"Toronto Running","12.01","942","01:09:31","142","163","3.9","154","163","5:47","4:20","144","110","1.12","8.8","9.8","294","5:43","347","0.0","339","544","10,692","No","00:00:03.8","13","--","--","--","01:09:18","01:13:17","66","129"
Running,2025-02-04 13:42:50,false,"Toronto Running","10.05","763","00:57:00","130","150","3.5","156","167","5:40","4:15","80","65","1.13","8.7","9.8","291","5:37","348","0.0","343","505","8,836","No","00:00:14.8","11","--","--","--","00:56:56","00:59:28","77","125"
Running,2025-01-28 13:06:23,false,"Toronto Running","12.02","851","01:04:57","132","149","3.7","155","165","5:24","3:24","122","66","1.18","8.4","10.0","286","5:22","367","0.0","362","628","10,126","No","00:00:07.4","13","--","--","--","01:04:20","01:10:09","67","134"
Running,2025-01-24 08:07:00,false,"Austin Running","10.79","767","01:01:23","128","146","3.3","154","172","5:42","4:56","94","81","1.14","8.7","9.9","294","5:39","350","0.0","343","533","9,434","No","00:04:33.1","11","--","--","--","01:01:06","01:09:51","126","153"
Running,2025-01-23 07:57:03,false,"Austin Running","16.43","1,262","01:31:54","132","150","4.5","154","167","5:36","4:41","105","78","1.15","8.6","10.0","293","5:33","353","0.0","349","465","14,108","No","00:02:15.0","17","--","--","--","01:31:41","01:34:15","122","142"
Running,2025-01-22 17:42:33,false,"Austin Running","4.34","321","00:23:37","138","152","3.2","148","161","5:26","4:12","70","24","1.23","8.5","10.4","296","5:14","383","0.0","369","564","3,534","No","00:01:52.0","5","--","--","--","00:23:10","00:26:07","141","197"
Running,2025-01-10 12:16:59,false,"Toronto Running","11.50","932","01:08:17","147","165","4.1","152","163","5:56","4:12","141","125","1.11","8.9","9.8","301","5:51","345","0.0","337","520","10,346","No","00:02:49.0","12","--","--","--","01:07:52","01:11:53","66","130"
Running,2025-01-07 13:25:56,false,"Toronto Running","11.66","921","01:08:44","143","165","3.9","152","161","5:54","3:45","166","138","1.11","8.8","9.8","299","5:48","350","0.0","338","605","10,392","No","00:03:48.9","12","--","--","--","01:08:36","01:14:00","65","143"
Running,2024-12-31 14:03:43,false,"Toronto Running","9.03","685","00:50:38","139","150","3.6","155","163","5:37","4:12","99","84","1.15","8.6","9.9","291","5:32","358","0.0","351","655","7,828","No","00:00:08.3","10","--","--","--","00:50:25","00:51:43","73","116"
Running,2024-12-26 11:59:12,false,"Hamilton Running","15.84","1,233","01:25:59","150","163","4.9","159","172","5:26","3:55","101","99","1.16","8.4","9.8","283","5:25","358","0.0","353","513","13,524","No","00:04:23.4","16","--","--","--","01:25:45","01:25:59","57","101"
Running,2024-12-18 10:40:11,false,"Toronto Running","13.82","1,056","01:17:28","139","155","4.2","154","169","5:36","4:05","175","124","1.15","8.6","9.9","294","5:32","366","0.0","354","631","11,844","No","00:04:29.4","14","--","--","--","01:17:07","01:21:42","71","136"
Running,2024-12-16 15:05:35,false,"Toronto Running","10.36","773","00:58:37","136","153","3.6","153","165","5:39","4:12","111","103","1.15","8.7","10.0","295","5:36","349","0.0","344","565","8,958","No","00:01:57.8","11","--","--","--","00:58:21","01:02:14","60","109"
Running,2024-12-13 13:49:12,false,"Toronto Running","11.63","890","01:06:59","139","152","3.8","153","182","5:46","4:27","200","178","1.13","8.8","9.9","297","5:36","357","0.0","344","591","10,190","No","00:03:30.6","12","--","--","--","01:06:39","01:14:39","58","114"
Running,2024-12-10 14:40:29,false,"Toronto Running","15.36","1,171","01:27:19","142","158","4.3","153","163","5:41","3:12","148","137","1.15","8.7","10.0","296","5:39","352","0.0","344","640","13,274","No","00:02:00.9","16","--","--","--","01:26:52","01:29:34","78","129"
Running,2024-12-08 12:51:14,false,"Vaughan Running","10.16","756","00:58:50","135","148","3.4","152","159","5:47","4:08","142","128","1.14","8.8","10.0","300","5:40","350","0.0","340","548","8,902","No","00:00:51.4","11","--","--","--","00:58:35","01:01:48","151","202"
Running,2024-12-04 15:45:37,false,"Toronto Running","7.03","505","00:40:33","128","154","3.1","152","171","5:46","5:13","64","70","1.12","8.8","9.8","295","5:44","356","0.0","349","520","6,226","No","00:00:11.3","8","--","--","--","00:40:28","00:43:22","77","120"
Running,2024-12-01 12:31:39,false,"Toronto Running","12.01","910","01:06:30","143","159","4.1","154","178","5:32","3:51","165","150","1.17","8.6","10.0","292","5:26","378","0.0","366","690","10,198","No","00:00:03.3","13","--","--","--","01:06:09","01:08:45","72","112"
Running,2024-11-25 15:45:37,false,"Toronto Running","9.10","668","00:51:33","135","153","3.4","152","165","5:40","4:56","60","59","1.15","8.7","10.0","296","5:41","346","0.0","340","473","7,850","No","00:00:35.0","10","--","--","--","00:51:10","00:55:25","82","115"
Running,2024-11-23 13:26:54,false,"Toronto Running","15.10","1,136","01:25:05","141","163","4.3","154","165","5:38","3:29","165","149","1.15","8.7","9.9","294","5:35","366","0.0","354","575","13,000","No","00:00:31.7","16","--","--","--","01:24:58","01:29:13","71","120"
Running,2024-11-21 14:03:16,false,"Toronto Running","9.61","766","00:58:55","141","162","3.5","149","163","6:08","4:30","61","52","1.09","9.0","9.8","308","6:06","316","0.0","313","465","8,794","No","00:03:45.4","10","--","--","--","00:58:29","01:13:44","72","109"
Running,2024-11-18 15:15:21,false,"Toronto Running","11.18","831","01:02:44","138","153","3.7","149","161","5:37","3:34","116","164","1.19","8.7","10.3","303","5:35","358","0.0","350","580","9,362","No","00:00:58.9","12","--","--","--","01:02:24","01:06:15","66","118"
